COUNTY,PHILIP MURPHY (Democratic),KIM GUADAGNO (Republican),GINA GENOVESE (REDUCE PROPERTY TAXES),PETER J. ROHRMAN (Libertarian Party),SETH KAPER-DALE (Green Party),MATTHEW RICCARDI (CONSTITUTION PARTY),VINCENT ROSS (WE THE PEOPLE)
ATLANTIC,36952,28456,645,287,359,205,111
BERGEN,129265,94904,896,1154,798,656,256
BURLINGTON,70453,52191,465,670,384,445,106
CAMDEN,81268,37113,709,876,538,238,173
CAPE MAY,13566,16118,210,122,119,97,52
CUMBERLAND,15686,11876,138,142,75,149,324
ESSEX,129470,30633,990,399,739,296,174
GLOUCESTER,42349,32448,449,423,259,174,593
HUDSON,88271,19236,509,400,496,290,475
HUNTERDON,17697,26708,265,315,218,79,68
MERCER,59992,30645,463,399,516,300,168
MIDDLESEX,100847,70940,1010,1035,1606,497,270
MONMOUTH,79432,101525,968,704,719,746,435
MORRIS,65507,77203,621,747,542,267,440
OCEAN,56582,98135,597,688,787,945,262
PASSAIC,57415,36230,475,607,316,296,116
SALEM,7814,8629,431,135,90,60,78
SOMERSET,45935,44231,746,413,533,204,211
SUSSEX,15431,25401,448,365,331,224,349
UNION,79113,39552,940,469,458,562,165
WARREN,10065,17409,319,181,170,134,154
TOTAL,1203110,899583,12294,10531,10053,6864,4980
