"Label (Grouping)","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","Atlantic County, New Jersey!!Estimate","Atlantic County, New Jersey!!Margin of Error","Atlantic County, New Jersey!!Percent","Atlantic County, New Jersey!!Percent Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Bergen County, New Jersey!!Percent","Bergen County, New Jersey!!Percent Margin of Error","Burlington County, New Jersey!!Estimate","Burlington County, New Jersey!!Margin of Error","Burlington County, New Jersey!!Percent","Burlington County, New Jersey!!Percent Margin of Error","Camden County, New Jersey!!Estimate","Camden County, New Jersey!!Margin of Error","Camden County, New Jersey!!Percent","Camden County, New Jersey!!Percent Margin of Error","Cape May County, New Jersey!!Estimate","Cape May County, New Jersey!!Margin of Error","Cape May County, New Jersey!!Percent","Cape May County, New Jersey!!Percent Margin of Error","Cumberland County, New Jersey!!Estimate","Cumberland County, New Jersey!!Margin of Error","Cumberland County, New Jersey!!Percent","Cumberland County, New Jersey!!Percent Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Essex County, New Jersey!!Percent","Essex County, New Jersey!!Percent Margin of Error","Gloucester County, New Jersey!!Estimate","Gloucester County, New Jersey!!Margin of Error","Gloucester County, New Jersey!!Percent","Gloucester County, New Jersey!!Percent Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Percent","Hudson County, New Jersey!!Percent Margin of Error","Hunterdon County, New Jersey!!Estimate","Hunterdon County, New Jersey!!Margin of Error","Hunterdon County, New Jersey!!Percent","Hunterdon County, New Jersey!!Percent Margin of Error","Mercer County, New Jersey!!Estimate","Mercer County, New Jersey!!Margin of Error","Mercer County, New Jersey!!Percent","Mercer County, New Jersey!!Percent Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Percent","Middlesex County, New Jersey!!Percent Margin of Error","Monmouth County, New Jersey!!Estimate","Monmouth County, New Jersey!!Margin of Error","Monmouth County, New Jersey!!Percent","Monmouth County, New Jersey!!Percent Margin of Error","Morris County, New Jersey!!Estimate","Morris County, New Jersey!!Margin of Error","Morris County, New Jersey!!Percent","Morris County, New Jersey!!Percent Margin of Error","Ocean County, New Jersey!!Estimate","Ocean County, New Jersey!!Margin of Error","Ocean County, New Jersey!!Percent","Ocean County, New Jersey!!Percent Margin of Error","Passaic County, New Jersey!!Estimate","Passaic County, New Jersey!!Margin of Error","Passaic County, New Jersey!!Percent","Passaic County, New Jersey!!Percent Margin of Error","Salem County, New Jersey!!Estimate","Salem County, New Jersey!!Margin of Error","Salem County, New Jersey!!Percent","Salem County, New Jersey!!Percent Margin of Error","Somerset County, New Jersey!!Estimate","Somerset County, New Jersey!!Margin of Error","Somerset County, New Jersey!!Percent","Somerset County, New Jersey!!Percent Margin of Error","Sussex County, New Jersey!!Estimate","Sussex County, New Jersey!!Margin of Error","Sussex County, New Jersey!!Percent","Sussex County, New Jersey!!Percent Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Union County, New Jersey!!Percent","Union County, New Jersey!!Percent Margin of Error","Warren County, New Jersey!!Estimate","Warren County, New Jersey!!Margin of Error","Warren County, New Jersey!!Percent","Warren County, New Jersey!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","9,267,014","*****","9,267,014","(X)","274,704","*****","274,704","(X)","954,717","*****","954,717","(X)","464,226","*****","464,226","(X)","524,042","*****","524,042","(X)","95,236","*****","95,236","(X)","152,915","*****","152,915","(X)","854,130","*****","854,130","(X)","304,504","*****","304,504","(X)","710,478","*****","710,478","(X)","129,448","*****","129,448","(X)","383,286","*****","383,286","(X)","861,535","*****","861,535","(X)","643,615","*****","643,615","(X)","510,375","*****","510,375","(X)","646,434","*****","646,434","(X)","518,289","*****","518,289","(X)","64,973","*****","64,973","(X)","346,203","*****","346,203","(X)","145,117","*****","145,117","(X)","572,549","*****","572,549","(X)","110,238","*****","110,238","(X)"
"        Male","4,558,671","±425","49.2%","±0.1","133,755","±54","48.7%","±0.1","467,706","±59","49.0%","±0.1","229,230","±36","49.4%","±0.1","253,745","±41","48.4%","±0.1","46,213","±183","48.5%","±0.2","78,025","±131","51.0%","±0.1","414,880","±184","48.6%","±0.1","149,151","±44","49.0%","±0.1","354,747","±218","49.9%","±0.1","63,829","±73","49.3%","±0.1","189,507","±55","49.4%","±0.1","427,818","±121","49.7%","±0.1","315,588","±56","49.0%","±0.1","252,947","±41","49.6%","±0.1","314,617","±56","48.7%","±0.1","254,516","±41","49.1%","±0.1","31,886","±172","49.1%","±0.3","170,560","±54","49.3%","±0.1","72,876","±126","50.2%","±0.1","282,307","±89","49.3%","±0.1","54,768","±193","49.7%","±0.2"
"        Female","4,708,343","±425","50.8%","±0.1","140,949","±54","51.3%","±0.1","487,011","±59","51.0%","±0.1","234,996","±36","50.6%","±0.1","270,297","±41","51.6%","±0.1","49,023","±183","51.5%","±0.2","74,890","±131","49.0%","±0.1","439,250","±184","51.4%","±0.1","155,353","±44","51.0%","±0.1","355,731","±218","50.1%","±0.1","65,619","±73","50.7%","±0.1","193,779","±55","50.6%","±0.1","433,717","±121","50.3%","±0.1","328,027","±56","51.0%","±0.1","257,428","±41","50.4%","±0.1","331,817","±56","51.3%","±0.1","263,773","±41","50.9%","±0.1","33,087","±172","50.9%","±0.3","175,643","±54","50.7%","±0.1","72,241","±126","49.8%","±0.1","290,242","±89","50.7%","±0.1","55,470","±193","50.3%","±0.2"
"        Sex ratio (males per 100 females)","96.8","±0.1","(X)","(X)","94.9","±0.1","(X)","(X)","96.0","±0.1","(X)","(X)","97.5","±0.1","(X)","(X)","93.9","±0.1","(X)","(X)","94.3","±0.7","(X)","(X)","104.2","±0.4","(X)","(X)","94.5","±0.1","(X)","(X)","96.0","±0.1","(X)","(X)","99.7","±0.1","(X)","(X)","97.3","±0.2","(X)","(X)","97.8","±0.1","(X)","(X)","98.6","±0.1","(X)","(X)","96.2","±0.1","(X)","(X)","98.3","±0.1","(X)","(X)","94.8","±0.1","(X)","(X)","96.5","±0.1","(X)","(X)","96.4","±1.0","(X)","(X)","97.1","±0.1","(X)","(X)","100.9","±0.3","(X)","(X)","97.3","±0.1","(X)","(X)","98.7","±0.7","(X)","(X)"
"        Under 5 years","526,400","±265","5.7%","±0.1","14,330","±39","5.2%","±0.1","48,738","±9","5.1%","±0.1","23,548","*****","5.1%","*****","31,250","±33","6.0%","±0.1","4,131","±83","4.3%","±0.1","9,425","±6","6.2%","±0.1","53,778","±82","6.3%","±0.1","15,345","±38","5.0%","±0.1","45,876","±186","6.5%","±0.1","5,641","±13","4.4%","±0.1","21,529","±46","5.6%","±0.1","46,940","±21","5.4%","±0.1","32,114","±28","5.0%","±0.1","25,471","*****","5.0%","*****","47,219","±45","7.3%","±0.1","33,069","±26","6.4%","±0.1","3,598","±74","5.5%","±0.1","17,145","±31","5.0%","±0.1","6,812","±16","4.7%","±0.1","35,338","±40","6.2%","±0.1","5,103","±95","4.6%","±0.1"
"        5 to 9 years","552,385","±4,351","6.0%","±0.1","15,287","±799","5.6%","±0.3","52,770","±1,403","5.5%","±0.1","26,487","±871","5.7%","±0.2","33,519","±1,151","6.4%","±0.2","4,712","±372","4.9%","±0.4","10,154","±648","6.6%","±0.4","54,763","±1,627","6.4%","±0.2","18,980","±745","6.2%","±0.2","39,397","±1,265","5.5%","±0.2","6,602","±466","5.1%","±0.4","22,580","±892","5.9%","±0.2","50,589","±1,195","5.9%","±0.1","37,013","±1,220","5.8%","±0.2","28,352","±876","5.6%","±0.2","44,126","±1,218","6.8%","±0.2","33,237","±1,140","6.4%","±0.2","3,866","±299","6.0%","±0.5","20,243","±800","5.8%","±0.2","7,942","±409","5.5%","±0.3","36,490","±1,541","6.4%","±0.3","5,276","±507","4.8%","±0.5"
"        10 to 14 years","589,316","±4,384","6.4%","±0.1","17,515","±801","6.4%","±0.3","61,465","±1,404","6.4%","±0.1","27,882","±873","6.0%","±0.2","33,721","±1,147","6.4%","±0.2","4,817","±389","5.1%","±0.4","11,328","±648","7.4%","±0.4","59,811","±1,626","7.0%","±0.2","18,380","±747","6.0%","±0.2","36,054","±1,253","5.1%","±0.2","7,419","±468","5.7%","±0.4","25,030","±890","6.5%","±0.2","55,217","±1,186","6.4%","±0.1","39,484","±1,220","6.1%","±0.2","31,448","±872","6.2%","±0.2","43,716","±1,223","6.8%","±0.2","35,528","±1,143","6.9%","±0.2","4,250","±286","6.5%","±0.4","21,916","±798","6.3%","±0.2","7,979","±412","5.5%","±0.3","39,572","±1,535","6.9%","±0.3","6,784","±482","6.2%","±0.4"
"        15 to 19 years","585,215","±555","6.3%","±0.1","17,397","±39","6.3%","±0.1","59,276","±65","6.2%","±0.1","27,830","±46","6.0%","±0.1","32,452","±31","6.2%","±0.1","4,404","±207","4.6%","±0.2","9,863","±87","6.4%","±0.1","55,697","±47","6.5%","±0.1","20,902","±165","6.9%","±0.1","34,341","±148","4.8%","±0.1","7,937","±106","6.1%","±0.1","27,663","±182","7.2%","±0.1","59,602","±131","6.9%","±0.1","42,163","±56","6.6%","±0.1","33,164","±156","6.5%","±0.1","38,838","±90","6.0%","±0.1","34,981","±63","6.7%","±0.1","3,738","±108","5.8%","±0.2","22,561","±156","6.5%","±0.1","8,770","±132","6.0%","±0.1","36,907","±69","6.4%","±0.1","6,729","±136","6.1%","±0.1"
"        20 to 24 years","554,478","±710","6.0%","±0.1","17,375","±34","6.3%","±0.1","54,219","±83","5.7%","±0.1","26,423","±39","5.7%","±0.1","30,472","±58","5.8%","±0.1","4,558","±348","4.8%","±0.4","9,125","±61","6.0%","±0.1","54,093","±134","6.3%","±0.1","21,292","±156","7.0%","±0.1","40,147","±216","5.7%","±0.1","7,537","±180","5.8%","±0.1","26,955","±174","7.0%","±0.1","54,938","±69","6.4%","±0.1","37,390","±36","5.8%","±0.1","29,593","±144","5.8%","±0.1","34,091","±94","5.3%","±0.1","34,218","±26","6.6%","±0.1","4,158","±195","6.4%","±0.3","19,922","±153","5.8%","±0.1","7,950","±126","5.5%","±0.1","33,684","±17","5.9%","±0.1","6,338","±211","5.7%","±0.2"
