"Table with row headers in column A and column headers in rows 4 through 6, 39 through 41, 73 through 75, 108 through 110, 142 through 144, 177 through 179, 211 through 213, 246 through 248, 280 through 282, and 315 through 317",,,,,,,,,,,,,,,
"Table A-1. Reported Voting and Registration by Race, Hispanic Origin, Sex and Age Groups: November 1964 to 2024",,,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,,,
Year,Total voting-age population,Total percent,,Percent by demographic,,,,,,,,,,,
,,,,White,,White non-Hispanic,,Black,,Asian1,,Hispanic (any race),,Total population,
,,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Male,Female
"Total, Percent Voted",,,,,,,,,,,,,,,
2024,"260,363",59.3,65.3,61.9,67.3,69.2,70.5,55.1,59.6,41.1,57.1,35.2,50.6,57.4,61.0
2022,"255,457",47.7,52.2,50.6,54.7,56.6,57.6,42.3,45.1,29.5,40.2,26.7,37.9,46.6,48.8
2020,"252,274",61.3,66.8,63.7,68.3,69.8,70.9,58.7,62.6,42.8,59.7,38.8,53.7,59.5,63.0
2018,"249,748",49.0,53.4,51.1,55.0,56.5,57.5,48.0,51.1,28.9,40.6,28.5,40.4,47.2,50.6
2016,"245,502",56.0,61.4,58.2,62.9,64.1,65.3,55.9,59.4,33.9,49.0,32.5,47.6,53.8,58.1
2014,"239,874",38.5,41.9,40.3,43.4,45.0,45.8,37.3,39.7,19.1,27.1,18.4,27.0,37.2,39.6
2012,"235,248",56.5,61.8,57.6,62.2,63.0,64.1,62.0,66.2,31.3,47.3,31.8,48.0,54.4,58.5
2010,"229,690",41.8,45.5,43.4,46.7,47.8,48.6,40.7,43.5,21.3,30.8,20.5,31.2,40.9,42.7
2008,"225,499",58.2,63.6,59.6,64.4,64.8,66.1,60.8,64.7,32.1,47.6,31.6,49.9,55.7,60.4
2006,"220,603",43.6,47.8,45.8,49.7,50.5,51.6,38.6,41.0,21.8,32.4,19.3,32.3,42.4,44.7
2004,"215,694",58.3,63.8,60.3,65.4,65.8,67.2,56.3,60.0,29.8,44.2,28.0,47.2,56.3,60.1
2002,"210,421",42.3,46.1,44.1,47.5,48.0,49.1,39.7,42.3,19.4,31.2,18.9,30.4,41.4,43.0
2000,"202,609",54.7,59.5,56.4,60.5,60.4,61.8,53.5,56.8,25.4,43.3,27.5,45.1,53.1,56.2
1998,"198,228",41.9,45.3,43.3,46.3,46.5,47.4,39.6,41.8,19.2,32.4,20.0,32.8,41.4,42.4
1996,"193,652",54.2,58.4,56.0,59.6,59.6,60.7,50.6,53.0,25.7,45.0,26.7,44.0,52.8,55.5
1994,"190,267",45.0,48.3,47.3,50.0,50.1,51.0,37.1,38.9,21.8,39.4,20.2,34.0,44.7,45.3
1992,"185,684",61.3,67.7,63.6,69.2,66.9,70.2,54.0,59.2,27.3,53.9,28.9,51.6,60.2,62.3
1990,"182,118",45.0,49.3,46.7,50.5,49.0,51.3,39.2,42.4,20.3,40.0,21.0,36.0,44.6,45.4
1988,"178,098",57.4,62.2,59.1,63.4,61.8,64.2,51.5,55.0,N,N,28.8,48.0,56.4,58.3
1986,"173,890",46.0,49.4,47.0,50.0,48.9,50.7,43.2,45.5,N,N,24.2,38.0,45.8,46.1
1984,"169,963",59.9,64.9,61.4,65.7,63.3,66.4,55.8,60.6,N,N,32.6,50.0,59.0,60.8
1982,"165,483",48.5,51.9,49.9,52.8,51.5,53.4,43.0,45.5,N,N,25.3,38.5,48.7,48.4
1980,"157,085",59.2,64.0,60.9,65.4,62.8,66.2,50.5,53.9,N,N,29.9,46.0,59.1,59.4
1978,"151,646",45.9,48.9,47.3,50.1,48.6,50.6,37.2,39.5,N,N,23.5,35.7,46.6,45.3
1976,"146,548",59.2,N,60.9,N,N,N,48.7,N,N,N,31.8,N,59.6,58.8
1974,"141,299",44.7,N,46.3,N,N,N,33.8,N,N,N,22.9,N,46.2,43.4
1972,"136,203",63.0,N,64.5,N,N,N,52.1,N,N,N,37.5,N,64.1,62.0
1970,"120,701",54.6,N,56.0,N,N,N,43.5,N,N,N,N,N,56.8,52.7
1968,"116,535",67.8,N,69.1,N,N,N,57.6,N,N,N,N,N,69.8,66.0
1966,"112,800",55.4,N,57.0,N,N,N,41.7,N,N,N,N,N,58.2,53.0
1964,"110,604",69.3,N,70.7,N,N,N,58.5,N,N,N,N,N,71.9,67.0
Year,Total voting-age population,Total percent,,Percent by demographic,,,,,,,,,,,
,,,,White,,White non-Hispanic,,Black,,Asian1,,Hispanic (any race),,Total population,
