COUNTY,2020_JOSEPH R. BIDEN_Democratic,2020_DONALD J. TRUMP_Republican,2020_JO JORGENSEN_Libertarian Party,2020_HOWIE HAWKINS_Green Party,2020_BILL HAMMONS_UNITY PARTY AMERICA,2020_DON BLANKENSHIP_CONSTITUTION PARTY,2020_GLORIA ESTELA LA RIVA_SOCIALISM AND LIBERATION,2020_ROQUE "ROCKY" DE LA FUENTE_ALLIANCE PARTY
ATLANTIC,73808,64438,958,367,108,103,177,72
BERGEN,285967,204417,2852,1375,284,327,384,243
BURLINGTON,154595,103345,2206,605,130,360,174,82
CAMDEN,175065,86207,1884,781,151,216,199,113
CAPE MAY,23941,33158,311,140,59,31,19,55
CUMBERLAND,32742,28952,397,139,71,32,26,49
ESSEX,266820,75475,1296,978,104,116,278,244
GLOUCESTER,86702,83340,1616,446,149,122,82,197
HUDSON,181452,65698,1252,782,251,102,205,108
HUNTERDON,39457,43153,985,410,77,77,44,39
MERCER,122532,51641,1427,564,91,88,125,136
MIDDLESEX,226250,143467,2554,1221,198,247,249,176
MONMOUTH,181291,191808,2708,1414,340,227,181,182
MORRIS,153881,141134,2436,1005,224,207,253,182
OCEAN,119456,217740,2469,1050,494,140,49,118
PASSAIC,129097,92009,1103,805,108,145,161,279
SALEM,14479,18827,406,93,40,40,17,20
SOMERSET,111173,71996,1641,620,133,115,116,65
SUSSEX,34481,51701,1094,352,91,103,91,50
UNION,170310,80038,1427,792,61,116,57,291
WARREN,24901,34769,655,263,91,40,41,27
TOTAL,2608400,1883313,31677,14202,3255,2954,2928,2728
