COUNTY,2024_KAMALA D. HARRIS_Democratic,2024_DONALD J. TRUMP_Republican,2024_JILL STEIN_Green Party,2024_ROBERT F. KENNEDY JR._Independent,2024_CHASE OLIVER_Libertarian Party,2024_CLAUDIA DE LA CRUZ_Socialism and Liberation,2024_RANDALL A. TERRY_U.S. Constitution Party,2024_JOSEPH KISHORE_Socialist Equality,2024_RACHELE FRUIT_Socialist Workers Party
ATLANTIC,61879,65817,636,740,288,144,169,56,30
BERGEN,232660,217096,5349,1975,1158,539,173,52,75
BURLINGTON,132275,94116,1293,942,527,156,97,18,42
CAMDEN,155522,87767,1407,1218,510,238,128,122,42
CAPE MAY,21648,32151,150,383,107,36,68,16,9
CUMBERLAND,26577,28675,186,255,87,61,30,5,9
ESSEX,224596,83908,2356,1050,682,494,96,44,57
GLOUCESTER,78708,83326,603,1258,406,131,108,27,68
HUDSON,144765,79913,3298,1369,517,649,280,154,236
HUNTERDON,36995,42391,488,501,321,107,62,21,39
MERCER,107558,52274,1690,907,390,218,103,44,86
MIDDLESEX,191802,162459,6996,1909,884,534,197,289,117
MONMOUTH,156382,197409,2142,2615,874,327,278,51,65
MORRIS,135672,143439,2296,1668,888,310,216,56,121
OCEAN,105789,227232,882,1996,585,206,235,165,45
PASSAIC,95156,100954,4429,1125,372,293,247,98,93
SALEM,12275,18229,94,277,87,24,11,0,4
SOMERSET,98790,74101,2447,958,667,246,113,52,38
SUSSEX,31019,52123,364,681,272,55,86,19,10
UNION,147327,89063,1648,1197,688,290,284,70,65
WARREN,23318,35772,287,455,190,47,43,12,26
TOTAL,2220713,1968215,39041,23479,10500,5105,3024,1371,1277
