COUNTY,PHILIP MURPHY (Democratic),JACK CIATTARELLI (Republican),MADELYN R. HOFFMAN (Green Party),GREGG MELE (Libertarian Party),JOANNE KUNIANSKY (SOCIALIST WORKERS PARTY)
ATLANTIC,35736,44977,296,215,84
BERGEN,145150,129644,618,520,418
BURLINGTON,82877,71772,294,433,171
CAMDEN,92162,56016,431,592,191
CAPE MAY,14183,24260,89,72,57
CUMBERLAND,13978,17794,129,88,40
ESSEX,132520,45542,475,321,309
GLOUCESTER,44959,54976,300,364,149
HUDSON,88066,30443,433,444,329
HUNTERDON,22820,33459,221,188,96
MERCER,66151,34617,329,372,156
MIDDLESEX,116352,90297,970,682,457
MONMOUTH,96664,141100,996,678,350
MORRIS,81915,102769,600,481,158
OCEAN,68615,145756,534,671,234
PASSAIC,57812,53551,383,369,209
SALEM,6893,12620,76,81,21
SOMERSET,58585,54264,311,373,139
SUSSEX,17346,36310,316,255,92
UNION,83913,51279,436,404,286
WARREN,12774,23739,213,165,66
TOTAL,1339471,1255185,8450,7768,4012
