COUNTY,SHERRILL_DEM,CIATTARELLI_REP,KAPLAN_LIB,KUNIANSKY_SWP
ATLANTIC,51201,47603,387,265
BERGEN,190461,152682,830,688
BURLINGTON,116774,75342,705,281
CAMDEN,130752,60129,631,548
CAPE MAY,18270,25588,146,68
CUMBERLAND,21348,19272,195,95
ESSEX,188681,55503,622,496
GLOUCESTER,67066,61265,549,386
HUDSON,127181,41021,1103,1019
HUNTERDON,31663,34683,285,116
MERCER,91713,36156,405,336
MIDDLESEX,174038,101830,1181,811
MONMOUTH,131484,154166,929,574
MORRIS,116488,111422,626,380
OCEAN,90323,185957,765,395
PASSAIC,86053,61966,617,464
SALEM,9782,13281,112,80
SOMERSET,83355,56095,623,414
SUSSEX,26308,38118,286,143
UNION,124470,59646,659,503
WARREN,19199,25980,224,102
TOTAL,1896610,1417705,11880,8164
