County,Election Year,Election Type,Total Number of Votes Cast,Votes Cast By Vote By Mail Ballots,Percentage of Votes Cast By Vote By Mail Ballot
Atlantic,2003,Primary,10770,0,0.0%
Atlantic,2003,General,51841,2201,4.2%
Atlantic,2004,Primary,12562,0,0.0%
Atlantic,2004,General,107187,0,0.0%
Atlantic,2005,Primary,22449,2268,10.1%
Atlantic,2005,General,71904,4180,5.8%
Atlantic,2006,Primary,11151,879,7.9%
Atlantic,2006,General,69752,3031,4.3%
Atlantic,2007,Primary,12283,1439,11.7%
Atlantic,2007,General,60543,3602,5.9%
Atlantic,2008,Primary,49824,1406,2.8%
Atlantic,2008,General,120074,7257,6.0%
Atlantic,2009,Primary,21672,1654,7.6%
Atlantic,2009,General,74915,4689,6.3%
Atlantic,2010,Primary,12215,566,4.6%
Atlantic,2010,General,64139,3632,5.7%
Atlantic,2011,Primary,12106,754,6.2%
Atlantic,2011,General,59300,3885,6.6%
Atlantic,2012,Primary,16633,841,5.1%
Atlantic,2012,General,113231,7437,6.6%
Atlantic,2013,Primary,21531,691,3.2%
Atlantic,2013,General,73258,5496,7.5%
Atlantic,2014,Primary,13885,873,6.3%
Atlantic,2014,General,66073,5722,8.7%
Atlantic,2015,Primary,10327,1071,10.4%
Atlantic,2015,General,48855,4532,9.3%
Atlantic,2016,Primary,39213,868,2.2%
Atlantic,2016,General,119416,9412,7.9%
Atlantic,2017,Primary,23854,1166,4.9%
Atlantic,2017,General,69580,6996,10.1%
Atlantic,2018,Primary,23314,1499,6.4%
Atlantic,2018,General,96639,11768,12.2%
Atlantic,2019,Primary,15501,3649,23.5%
Atlantic,2019,General,60304,9717,16.1%
Atlantic,2020,Primary,49394,43667,88.4%
Atlantic,2020,General,143474,134862,94.0%
Atlantic,2021,Primary,29506,6613,22.4%
Atlantic,2021,General,82619,15524,18.8%
Atlantic,2022,Primary,22430,6746,30.1%
Atlantic,2022,General,78134,14286,18.3%
Atlantic,2023,Primary,18974,6311,33.3%
Atlantic,2023,General,60143,13020,21.6%
Atlantic,2024,Primary,26437,7948,30.1%
Atlantic,2024,General,130789,19673,15.0%
Atlantic,2025,Primary,40192,9246,23.0%
