COUNTY,2017_UNA,2017_DEM,2017_REP,2017_CNV,2017_CON,2017_GRE,2017_LIB,2017_NAT,2017_RFP,2017_SSP,2017_Total,2021_UNA,2021_DEM,2021_REP,2021_CNV,2021_CON,2021_GRE,2021_LIB,2021_NAT,2021_RFP,2021_SSP,2021_Total,2025_UNA,2025_DEM,2025_REP,2025_CNV,2025_CON,2025_GRE,2025_LIB,2025_NAT,2025_RFP,2025_SSP,2025_Total
ATLANTIC,73374,77849,59751,290,180,216,450,120,95,18,212343,74935,74478,57246,530,609,449,727,242,92,311,209619,71290,69252,61550,446,426,378,825,195,65,265,204692
BERGEN,254441,209553,126571,593,199,482,778,236,265,48,593166,266325,264830,150738,1319,1368,1107,1933,492,161,566,688839,256092,252845,163498,1092,863,1077,2095,387,101,539,678589
BURLINGTON,120378,112790,76340,311,110,290,450,115,272,16,311082,119819,139858,90916,791,723,598,1252,319,70,403,354749,124353,143206,98798,663,511,621,1465,265,70,379,370331
CAMDEN,137764,160195,51061,351,162,343,499,200,337,48,351960,139933,189723,64559,1063,1069,775,1305,468,131,556,399582,133067,181202,71126,892,779,748,1572,417,97,490,390390
CAPE MAY,25861,15906,28169,70,15,69,107,35,64,3,70299,23527,18525,31972,173,199,112,263,66,15,84,74936,23036,18574,34267,157,140,108,314,59,11,76,76742
CUMBERLAND,43042,28621,17283,89,84,178,151,72,189,25,89734,38324,34356,22837,361,527,213,375,227,62,240,97522,37916,31478,25540,294,352,179,416,159,36,194,96564
ESSEX,189527,251926,48812,491,131,369,388,143,305,54,492146,209214,299345,58527,986,1240,723,1081,495,176,596,572383,203363,294246,65667,906,943,792,1324,448,159,626,568474
GLOUCESTER,82951,79309,44613,207,69,135,346,97,190,18,207935,80997,88840,57876,590,500,417,910,185,63,284,230662,74003,85175,67210,455,337,392,1119,164,34,261,229150
HUDSON,122528,191129,32170,348,179,604,613,223,406,60,348260,137914,231095,44927,1219,1324,880,1519,472,178,629,420157,144932,225512,54850,945,885,893,1570,383,120,604,430694
HUNTERDON,35741,22347,37984,96,22,47,185,22,88,9,96541,35240,29236,41790,153,138,149,373,56,8,61,107204,30834,31399,44046,141,100,125,389,40,15,61,107150
MERCER,96759,100091,35580,233,113,290,304,135,265,11,233781,98934,121646,41646,831,838,553,861,372,75,463,266219,101801,119466,43898,593,583,541,954,300,50,414,268600
MIDDLESEX,217980,204080,73001,498,214,625,718,305,492,79,498992,229634,251463,97154,1494,1654,1082,1772,620,187,796,585856,226554,239354,112332,1250,1144,1183,1813,472,125,727,584954
MONMOUTH,203913,121252,118379,446,211,451,667,193,495,153,446160,198226,144131,146933,1150,1071,905,1746,478,115,455,495210,189461,141994,168834,923,686,786,1989,318,70,368,505429
MORRIS,136370,90069,125095,353,99,284,564,88,281,28,353231,141076,117579,136216,714,646,635,1349,266,53,307,398841,129738,118196,137796,574,404,602,1458,211,45,296,389320
OCEAN,183284,85406,131458,402,163,441,607,202,385,44,402992,180029,101816,171211,1232,1223,892,1648,438,114,532,459135,169384,103344,200907,1088,824,768,1854,315,86,429,478999
PASSAIC,129703,114684,59518,305,176,305,441,187,304,30,305653,125498,133845,69714,1265,1005,644,1138,481,141,555,334286,120728,134146,80753,924,747,732,1163,342,95,460,340090
SALEM,19532,13702,10709,44,17,51,85,26,54,3,44223,18047,14846,14033,211,104,99,238,53,8,86,47725,18213,14509,16534,166,92,103,292,40,9,80,50038
SOMERSET,95191,71260,58576,226,74,198,349,80,183,11,226148,101168,93081,66457,478,445,396,901,190,45,216,263377,98392,92125,66487,388,312,462,932,138,41,221,259498
SUSSEX,40444,20464,42254,103,47,64,219,48,136,6,103785,39984,26770,49197,380,267,293,617,125,30,116,117779,39729,27362,52414,318,164,264,716,78,22,126,121193
UNION,124782,150643,49011,326,152,448,444,176,265,55,326302,122071,178320,57892,924,1060,630,1024,427,139,470,362957,139616,178923,68818,785,714,571,1168,330,91,414,391430
WARREN,27927,17307,28452,74,38,82,144,28,72,7,74131,30057,22959,34609,240,223,183,418,77,16,84,88866,26174,24564,38143,254,205,223,614,85,20,119,90401
TOTAL,2361492,2120485,1240873,5754,2370,5972,8349,2731,6467,764,5755257,2410952,2576742,1506450,16104,16233,11735,21450,6549,1879,7810,6575904,2358676,2526872,1673468,13254,11211,11548,24042,5146,1362,7149,6632728
